gender,category,image,brand,description,price,discount,url,rating,reviews
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11674686/2020/7/10/276c168b-29c6-4da2-b2cb-afe9d5a8ec411594358940300-Ziyaa-Womens-Dark-Pink-Colour-Foil-Print-Straight-Crepe-Kurt-1.jpg",Anouk,Printed A-Line Kurta,Rs. 1079,(Rs. 720 OFF),https://www.myntra.com/kurtas/anouk/anouk-women-blue-printed-a-line-kurta/10297751/buy,3.7,4k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10297751/2019/8/14/c842de3d-0825-4965-af95-84fb1b972c7f1565774998813-Anouk-Women-Kurtas-5131565774997903-1.jpg",ZIYAA,Yoke Design Kurta with Trousers,Rs. 976,(Rs. 1984 OFF),https://www.myntra.com/kurta-sets/ziyaa/ziyaa-women-cream-coloured-yoke-design-kurta-with-trousers/13681788/buy,4,2.5k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/17/f270c85e-1ef6-4c87-a9f9-9d88cdf85e6c1613539958126-1.jpg",Soch,Women Embroidered Kurta,,0,https://www.myntra.com/kurtas/soch/soch-women-mustard-yellow-yoke-embroidered-mirror-work-kurta/15867786/buy,3.5,1.7k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15867786/2021/10/19/34664982-db4e-4c21-b3ab-0fed78c133ed1634651900173SochWomenMustardYellowEmbroideredMirrorWorkKurta1.jpg",Ishin,Kurta with Sharara & Dupatta,Rs. 3666,(Rs. 5983 OFF),https://www.myntra.com/kurta-sets/ishin/ishin-women-peach-coloured-embroidered-kurta-with-sharara--dupatta/13563222/buy,,
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/2/1/534d618f-e7e0-4f7e-a25e-549a8c6e62bb1612164295066-1.jpg",AHIKA,Women Printed Straight Kurta,Rs. 694,(Rs. 504 OFF),https://www.myntra.com/kurtas/ahika/ahika-women-navy-blue--off-white-printed-straight-kurta/10808272/buy,4.2,71 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10808272/2019/10/30/5a8714bc-bef0-4f18-9fe6-ca27b5be69c61572436729830-AHIKA-Women-Kurtas-241572436727174-1.jpg",Libas,Printed Kurta with Palazzos & Dupatta,Rs. 1484,(Rs. 1215 OFF),https://www.myntra.com/kurta-sets/libas/libas-women-navy-blue-printed-kurta-with-palazzos--dupatta/13705124/buy,4,5k Verified Buyers
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7320165/2018/9/14/ffacac36-d3ad-4575-af2a-70043199fe9d1536904066226-Libas-Women-Kurtis-9301536904066080-1.jpg",Vishudh,Women Printed Tunic,Rs. 755,(37% OFF),,4.2,524 Verified Buyers
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6540132/2018/6/4/85f86003-a8dd-453e-98ac-8b0fe32a0d2e1528088454137-GERUA-Women-Kurtis-871528088454025-1.jpg",Libas,Embroidered A-Line Kurti,Rs. 749,(Rs. 750 OFF),https://www.myntra.com/kurtis/libas/libas-women-black-embroidered-a-line-kurti/7320165/buy,,
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12834502/2020/11/26/e50bd870-573d-4f6f-9ebc-938bda01edc31606382198225WomenBlackMultiColourPrintedKurti1.jpg",GERUA,Printed Empire A-Line Cotton Kurti,Rs. 604,(45% OFF),https://www.myntra.com/kurtis/gerua/gerua-mustard-yellow--red-empire-a-line-pure-cotton-kurti/6540132/buy,4.5,2.9k Verified Buyers
F,ethnic-tops,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15636004/2021/9/27/78723922-6dc8-462b-a085-67b765e1a3d11632725527391Kurtis1.jpg",Meeranshi,Yoke Design A-Line Kurti,Rs. 499,(Rs. 2000 OFF),https://www.myntra.com/kurtis/meeranshi/women-black--golden-yoke-design-a-line-kurti/12834502/buy,4.1,1.2k Verified Buyers
